id,name,latitude,longitude,source,source_id,source_url,license,verification_status,verified_at,notes
izh-kalashnikov-museum,Музейно-выставочный комплекс им. М. Т. Калашникова,56.8506594,53.2067122,OpenStreetMap,way/29032752,https://www.openstreetmap.org/way/29032752,ODbL-1.0,source_checked,2026-08-28,Проверить безопасную точку подхода и вход в поле
izh-gunsmiths-monument,Памятник ижевским оружейникам,56.8439992,53.1976211,OpenStreetMap,node/2348003715,https://www.openstreetmap.org/node/2348003715,ODbL-1.0,source_checked,2026-08-28,Проверить доступность с велосипедом
izh-alexander-nevsky-cathedral,Собор Александра Невского,56.8440720,53.2010155,OpenStreetMap,way/151492280,https://www.openstreetmap.org/way/151492280,ODbL-1.0,source_checked,2026-08-28,Использовать внешнюю публичную точку без входа в здание
izh-zoo,Ижевский зоопарк,56.8650436,53.1730250,OpenStreetMap,way/81125228,https://www.openstreetmap.org/way/81125228,ODbL-1.0,source_checked,2026-08-28,Уточнить публичную точку у входа
izh-central-square,Центральная площадь,56.8528138,53.2055288,OpenStreetMap,relation/6638938,https://www.openstreetmap.org/relation/6638938,ODbL-1.0,source_checked,2026-08-28,Уточнить центр geofence после полевой проверки
izh-dudin-embankment,Набережная им. зодчего Дудина,56.8549641,53.1944073,OpenStreetMap,way/497392921,https://www.openstreetmap.org/way/497392921,ODbL-1.0,source_checked,2026-08-28,Выбрать одну заметную публичную точку маршрута
izh-kirov-park,Парк культуры и отдыха им. С. М. Кирова,56.8638330,53.1610712,OpenStreetMap,way/28421180,https://www.openstreetmap.org/way/28421180,ODbL-1.0,source_checked,2026-08-28,Уточнить вход или ориентир
izh-cosmonauts-park,Парк Космонавтов,56.8872527,53.2494167,OpenStreetMap,way/49396594,https://www.openstreetmap.org/way/49396594,ODbL-1.0,source_checked,2026-08-28,Уточнить вход или ориентир
izh-victory-square,Сквер Победы,56.8532903,53.2190202,OpenStreetMap,way/26165146,https://www.openstreetmap.org/way/26165146,ODbL-1.0,source_checked,2026-08-28,Проверить безопасную остановку группы
izh-gunsmiths-square,Площадь Оружейников,56.8441019,53.1985633,OpenStreetMap,relation/5337842,https://www.openstreetmap.org/relation/5337842,ODbL-1.0,source_checked,2026-08-28,Не дублировать check-in с памятником без продуктового решения
izh-opera-ballet-theatre,Театр оперы и балета им. П. И. Чайковского,56.8518885,53.2093627,OpenStreetMap,way/152841852,https://www.openstreetmap.org/way/152841852,ODbL-1.0,source_checked,2026-08-28,Использовать внешнюю публичную точку
izh-national-museum,Национальный музей Удмуртской Республики,56.8534668,53.2154211,OpenStreetMap,relation/389556,https://www.openstreetmap.org/relation/389556,ODbL-1.0,source_checked,2026-08-28,Использовать внешнюю публичную точку
izh-crocodile-monument,Памятник Крокодилу,56.8462849,53.2196274,OpenStreetMap,node/10931834809,https://www.openstreetmap.org/node/10931834809,ODbL-1.0,source_checked,2026-08-28,Проверить координату в поле
izh-eternal-flame,Вечный огонь,56.8539106,53.2190270,OpenStreetMap,node/1259897102,https://www.openstreetmap.org/node/1259897102,ODbL-1.0,source_checked,2026-08-28,Сохранить уважительный нейтральный copy
izh-rotonda,Ротонда на улице Наговицына,56.8533366,53.2142025,OpenStreetMap,way/446870127,https://www.openstreetmap.org/way/446870127,ODbL-1.0,source_checked,2026-08-28,Проверить координату и доступность
izh-builder-monument,Памятник строителю,56.8781162,53.2342900,OpenStreetMap,node/3957171973,https://www.openstreetmap.org/node/3957171973,ODbL-1.0,source_checked,2026-08-28,Проверить безопасный подход
izh-artillery-monument,Памятник-пушка 174-му ОИПТД,56.8442763,53.2123172,OpenStreetMap,node/1644407584,https://www.openstreetmap.org/node/1644407584,ODbL-1.0,source_checked,2026-08-28,Проверить координату в поле
izh-lyullinskaya-pearl,Памятник природы Люллинская жемчужина,56.7759044,53.3077553,OpenStreetMap,node/7849555385,https://www.openstreetmap.org/node/7849555385,ODbL-1.0,source_checked,2026-08-28,Проверить безопасность и пригодность для веломаршрута
izh-oil-worker,Монумент Нефтяник,56.8502934,53.2346386,OpenStreetMap,way/836056861,https://www.openstreetmap.org/way/836056861,ODbL-1.0,source_checked,2026-08-28,Проверить координату в поле
izh-birch-grove,Берёзовая роща Козий парк,56.8585544,53.2335352,OpenStreetMap,way/116174284,https://www.openstreetmap.org/way/116174284,ODbL-1.0,source_checked,2026-08-28,Уточнить вход или ориентир
izh-pushkin-monument,Памятник А. С. Пушкину,56.8501240,53.2234392,OpenStreetMap,node/999706511,https://www.openstreetmap.org/node/999706511,ODbL-1.0,source_checked,2026-08-28,Проверить координату в поле
izh-technical-university,ИжГТУ имени М. Т. Калашникова,56.8730574,53.1754888,OpenStreetMap,way/77452202,https://www.openstreetmap.org/way/77452202,ODbL-1.0,source_checked,2026-08-28,Использовать внешнюю публичную точку без входа на закрытую территорию
